tconst,primaryTitle,startYear,genres
tt0039098,The Well Groomed Bride,1946,"Comedy,Romance"
tt0038383,The Bride Wore Boots,1946,"Adventure,Comedy,Romance"
tt0038815,Our Hearts Were Growing Up,1946,"Adventure,Comedy,Romance"
tt0038747,Monsieur Beaucaire,1946,"Adventure,Comedy,History"
tt0038370,Blue Skies,1946,"Comedy,Musical,Romance"
tt0038438,Cross My Heart,1946,"Comedy,Music,Mystery"
tt0038832,The Perfect Marriage,1946,Comedy
tt0039544,Ladies' Man,1947,"Comedy,Musical"
tt0039346,"Easy Come, Easy Go",1947,"Comedy,Drama"
tt0039645,My Favorite Brunette,1947,"Comedy,Crime,Mystery"
tt0039307,Dear Ruth,1947,"Comedy,Romance"
tt0039975,Welcome Stranger,1947,Comedy
tt0039917,The Trouble with Women,1947,"Comedy,Romance"
tt0039133,Adventure Island,1947,"Action,Adventure,Comedy"
tt0039428,Golden Earrings,1947,"Adventure,Comedy,Drama"
tt0039951,Variety Girl,1947,"Comedy,Musical"
tt0039982,Where There's Life,1947,"Comedy,Thriller"
tt0040754,The Sainted Sisters,1948,Comedy
tt0040426,Hazard,1948,"Comedy,Drama"
tt0040367,A Foreign Affair,1948,"Comedy,Drama,Romance"
tt0040317,The Emperor Waltz,1948,"Comedy,Musical,Romance"
tt0040302,Dream Girl,1948,"Comedy,Romance"
tt0040599,Miss Tatlock's Millions,1948,"Comedy,Romance"
tt0040679,The Paleface,1948,"Comedy,Family,Western"
tt0041259,A Connecticut Yankee in King Arthur's Court,1949,"Comedy,Family,Fantasy"
tt0041902,Sorrowful Jones,1949,"Comedy,Drama"
tt0041969,Top o' the Morning,1949,"Comedy,Musical,Romance"
tt0041795,"Red, Hot and Blue",1949,"Comedy,Crime,Musical"
tt0041286,Dear Wife,1949,Comedy
tt0041429,The Great Lover,1949,"Comedy,Musical,Romance"
