tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0032266,1.0,nm0129278,movie,Boccaccio,0.0,\N,80.0,movie,Boccaccio,Boccaccio,0,1940,\N,80,Comedy,Clara Calamai,1909,1998,"actress,archive_footage","tt0038288,tt0073582,tt0035160,tt0042904",31
tt0032276,3.0,nm0381154,movie,The Boys from Syracuse,0.0,\N,73.0,movie,The Boys from Syracuse,The Boys from Syracuse,0,1940,\N,73,"Comedy,Musical",Irene Hervey,1909,1998,"actress,soundtrack","tt0067588,tt0035124,tt0064117,tt0025004",31
tt0032277,6.0,nm0315178,movie,Boys of the City,0.0,\N,68.0,movie,Boys of the City,Boys of the City,0,1940,\N,68,"Comedy,Mystery,Thriller",Inna Gest,1921,1964,actress,"tt0036360,tt0032277,tt0033688,tt0032563",19
tt0032279,1.0,nm0731376,movie,The Bride Wore Crutches,0.0,\N,55.0,movie,The Bride Wore Crutches,The Bride Wore Crutches,0,1940,\N,55,"Action,Adventure,Comedy",Lynne Roberts,1922,1978,"actress,soundtrack,archive_footage","tt0040539,tt0032279,tt0039707,tt0040561",18
tt0032285,3.0,nm0815433,movie,Brother Orchid,0.0,\N,88.0,movie,Brother Orchid,Brother Orchid,0,1940,\N,88,"Comedy,Crime,Drama",Ann Sothern,1909,2001,"actress,music_department,soundtrack","tt0033803,tt0094315,tt0041587,tt0045435",31
tt0032286,1.0,nm0485509,movie,Brother Rat and a Baby,0.0,\N,87.0,movie,Brother Rat and a Baby,Brother Rat and a Baby,0,1940,\N,87,Comedy,Priscilla Lane,1915,1995,"actress,soundtrack,archive_footage","tt0036613,tt0035279,tt0033409,tt0031867",25
tt0032289,2.0,nm0237655,movie,Buck Benny Rides Again,0.0,\N,84.0,movie,Buck Benny Rides Again,Buck Benny Rides Again,0,1940,\N,84,"Adventure,Comedy,Music",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032297,2.0,nm0265478,movie,Calling All Husbands,0.0,\N,63.0,movie,Calling All Husbands,Calling All Husbands,0,1940,\N,63,"Comedy,Romance",Lucile Fairbanks,1917,1999,"actress,soundtrack,archive_footage","tt0032499,tt0032297,tt0034236,tt0034948",23
tt0032300,2.0,nm0195003,movie,Cantate con me,0.0,\N,83.0,movie,Song of My Heart,Cantate con me,0,1940,\N,83,Comedy,Rubi Dalma,1906,1994,actress,"tt0041248,tt0029562,tt0033538,tt0042355",34
tt0032301,1.0,nm0320221,movie,La canzone rubata,0.0,\N,85.0,movie,La canzone rubata,La canzone rubata,0,1940,\N,85,Comedy,Vivi Gioi,1914,1975,actress,"tt0039233,tt0027922,tt0056378,tt0034616",26
tt0032303,1.0,nm0846021,movie,Il capitano degli ussari,0.0,\N,68.0,movie,Il capitano degli ussari,Il capitano degli ussari,0,1940,\N,68,Comedy,Clara Tabody,1915,1986,"actress,archive_footage","tt0035045,tt0954320,tt0033049,tt0032303",25
tt0032305,2.0,nm0094135,movie,The Captain Is a Lady,0.0,\N,65.0,movie,The Captain Is a Lady,The Captain Is a Lady,0,1940,\N,65,Comedy,Beulah Bondi,1889,1981,"actress,soundtrack,archive_footage","tt0038650,tt0031679,tt0029192,tt0034012",51
tt0032309,2.0,nm0102570,movie,Carnaval de antaño,0.0,\N,86.0,movie,Carnaval de antaño,Carnaval de antaño,0,1940,\N,86,"Comedy,Musical",Sofía Bozán,1904,1958,"actress,soundtrack","tt0022095,tt0197708,tt0197709,tt0121662",36
tt0032323,8.0,nm0130829,movie,Charley's (Big-Hearted) Aunt,0.0,\N,75.0,movie,Charley's (Big-Hearted) Aunt,Charley's (Big-Hearted) Aunt,0,1940,\N,75,Comedy,Phyllis Calvert,1915,2002,"actress,archive_footage","tt0045654,tt0049067,tt0053149,tt0039594",25
tt0032335,2.0,nm0600332,movie,Chingolo,0.0,\N,79.0,movie,Chingolo,Chingolo,0,1940,\N,79,Comedy,Nuri Montsé,1917,1971,actress,"tt0197551,tt0191184,tt0175912,tt0035517",23
tt0032338,2.0,nm0237655,movie,Christmas in July,0.0,\N,67.0,movie,Christmas in July,Christmas in July,0,1940,\N,67,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032343,1.0,nm0054609,movie,City of Chance,0.0,\N,56.0,movie,City of Chance,City of Chance,0,1940,\N,56,"Comedy,Crime,Drama",Lynn Bari,1919,1989,"actress,soundtrack,archive_footage","tt0036672,tt0034716,tt0029899,tt0038782",21
tt0032347,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63.0,movie,Comin' Round the Mountain,Comin' Round the Mountain,0,1940,\N,63,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37
tt0032349,2.0,nm0001443,movie,Comrade X,0.0,\N,104.0,movie,Comrade X,Comrade X,0,1940,\N,104,"Comedy,Romance",Hedy Lamarr,1914,2000,"actress,producer,miscellaneous","tt0041838,tt0038990,tt0037769,tt0035460",26
tt0032350,3.0,nm0217876,movie,La comédie du bonheur,0.0,\N,108.0,movie,La comédie du bonheur,La comédie du bonheur,0,1940,\N,108,Comedy,Jacqueline Delubac,1907,1997,"actress,archive_footage","tt0028847,tt0029394,tt0194201,tt0150430",33
tt0032353,1.0,nm0815433,movie,Congo Maisie,0.0,\N,71.0,movie,Congo Maisie,Congo Maisie,0,1940,\N,71,"Comedy,Drama",Ann Sothern,1909,2001,"actress,music_department,soundtrack","tt0033803,tt0094315,tt0041587,tt0045435",31
tt0032369,2.0,nm0057412,movie,Cross-Country Romance,0.0,\N,68.0,movie,Cross-Country Romance,Cross-Country Romance,0,1940,\N,68,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0032373,1.0,nm0713799,movie,Curtain Call,0.0,\N,63.0,movie,Curtain Call,Curtain Call,0,1940,\N,63,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23
tt0032375,2.0,nm0554412,movie,"Dad Rudd, M.P.",0.0,\N,83.0,movie,"Dad Rudd, M.P.","Dad Rudd, M.P.",0,1940,\N,83,Comedy,Connie Martyn,1887,1971,actress,"tt0032375,tt0030032,tt0122220,tt0009829",53
tt0032376,1.0,nm0000058,movie,"Dance, Girl, Dance",0.0,\N,90.0,movie,"Dance, Girl, Dance","Dance, Girl, Dance",0,1940,\N,90,"Comedy,Drama,Music",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",20
tt0032377,1.0,nm0531738,movie,Dancing on a Dime,0.0,\N,74.0,movie,Dancing on a Dime,Dancing on a Dime,0,1940,\N,74,"Comedy,Drama,Music",Grace McDonald,1918,1999,"actress,soundtrack","tt0035548,tt0034500,tt0037100,tt0034797",22
tt0032382,2.0,nm0901400,movie,La danza dei milioni,0.0,\N,70.0,movie,La danza dei milioni,La danza dei milioni,0,1940,\N,70,Comedy,Jole Voleri,1917,2009,actress,"tt0032756,tt0033640,tt0032382,tt0032064",23
tt0032397,1.0,nm0949835,movie,The Doctor Takes a Wife,0.0,\N,88.0,movie,The Doctor Takes a Wife,The Doctor Takes a Wife,0,1940,\N,88,"Comedy,Romance",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",27
tt0032407,2.0,nm0320221,movie,Dopo divorzieremo,0.0,\N,85.0,movie,Dopo divorzieremo,Dopo divorzieremo,0,1940,\N,85,Comedy,Vivi Gioi,1914,1975,actress,"tt0039233,tt0027922,tt0056378,tt0034616",26
tt0032410,2.0,nm0002107,movie,Down Argentine Way,0.0,\N,89.0,movie,Down Argentine Way,Down Argentine Way,0,1940,\N,89,"Comedy,Drama,Musical",Betty Grable,1916,1973,"actress,soundtrack,archive_footage","tt0045891,tt0034405,tt0033740,tt0043370",24
tt0032417,3.0,nm0486387,movie,Dreaming Out Loud,0.0,\N,81.0,movie,Dreaming Out Loud,Dreaming Out Loud,0,1940,\N,81,Comedy,Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",27
tt0032422,1.0,nm0815433,movie,Dulcy,0.0,\N,73.0,movie,Dulcy,Dulcy,0,1940,\N,73,"Adventure,Comedy,Romance",Ann Sothern,1909,2001,"actress,music_department,soundtrack","tt0033803,tt0094315,tt0041587,tt0045435",31
tt0032424,7.0,nm0889540,movie,The Earl of Chicago,0.0,\N,87.0,movie,The Earl of Chicago,The Earl of Chicago,0,1940,\N,87,"Action,Comedy,Crime",Norma Varden,1898,1989,"actress,soundtrack,archive_footage","tt0045810,tt0044079,tt0051201,tt0059742",42
tt0032425,2.0,nm0322319,movie,Earl of Puddlestone,0.0,\N,67.0,movie,Earl of Puddlestone,Earl of Puddlestone,0,1940,\N,67,"Comedy,Romance",Lucile Gleason,1888,1947,"actress,miscellaneous,archive_footage","tt0037604,tt0025283,tt0031922,tt0032425",52
tt0032428,3.0,nm0117147,movie,East Side Kids,0.0,\N,62.0,movie,East Side Kids,East Side Kids,0,1940,\N,62,"Comedy,Drama,Romance",Joyce Bryant,1916,2004,actress,"tt0033139,tt0033761,tt0031018,tt0038752",24
tt0032434,2.0,nm0866181,movie,Egy csók és más semmi,0.0,\N,77.0,movie,Egy csók és más semmi,Egy csók és más semmi,0,1941,\N,77,"Comedy,Musical",Klári Tolnay,1914,1998,"actress,soundtrack,archive_footage","tt0240982,tt0057394,tt0036410,tt0077982",27
tt0032435,1.0,nm0323576,movie,Eladó birtok,0.0,\N,86.0,movie,Eladó birtok,Eladó birtok,0,1941,\N,86,"Comedy,Romance",Hilda Gobbi,1913,1988,"actress,archive_footage","tt0244625,tt0058504,tt0077982,tt0371659",28
tt0032437,2.0,nm0139200,movie,L'elisir d'amore,0.0,\N,85.0,movie,L'elisir d'amore,L'elisir d'amore,0,1941,\N,85,Comedy,Margherita Carosio,1908,2005,"actress,music_department,miscellaneous","tt0032437,tt0034152,tt0029474,tt0032778",33
tt0032442,2.0,nm0259134,movie,"En, men ett lejon!",0.0,\N,94.0,movie,"One, But a Lion!","En, men ett lejon!",0,1940,\N,94,Comedy,Annalisa Ericson,1913,2011,"actress,soundtrack,archive_footage","tt0041433,tt0037140,tt0039862,tt0051514",27
tt0032451,2.0,nm0719969,movie,Una famiglia impossibile,0.0,\N,75.0,movie,Una famiglia impossibile,Una famiglia impossibile,0,1940,\N,75,Comedy,Pina Renzi,1901,1984,"actress,director","tt0033602,tt0034331,tt0034589,tt0033434",39
tt0032452,2.0,nm0307549,movie,Familien Olsen,0.0,\N,91.0,movie,Familien Olsen,Familien Olsen,0,1940,\N,91,"Comedy,Crime,Drama",Maria Garland,1889,1967,"actress,writer","tt0035698,tt0143530,tt2428286,tt0124813",51
tt0032453,3.0,nm0294393,movie,El famoso Carballeira,0.0,\N,89.0,movie,El famoso Carballeira,El famoso Carballeira,0,1940,\N,89,"Comedy,Drama",Maruchi Fresno,1916,2003,actress,"tt0043388,tt0039760,tt0053290,tt0038861",24
tt0032456,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60.0,movie,The Farmer's Daughter,The Farmer's Daughter,0,1940,\N,60,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24
tt0032458,2.0,nm0117194,movie,Father Is a Prince,0.0,\N,57.0,movie,Father Is a Prince,Father Is a Prince,0,1940,\N,57,"Comedy,Drama",Nana Bryant,1888,1955,"actress,soundtrack,archive_footage","tt0042546,tt0037557,tt0028355,tt0029844",52
tt0032459,2.0,nm0696163,movie,Fausse alerte,0.0,\N,90.0,movie,The French Way,Fausse alerte,0,1940,\N,90,"Comedy,Romance",Micheline Presle,1922,2024,"actress,soundtrack,archive_footage","tt0056093,tt0042005,tt0035853,tt0090706",18
tt0032473,1.0,nm0271515,movie,Five Little Peppers in Trouble,0.0,\N,64.0,movie,Five Little Peppers in Trouble,Five Little Peppers in Trouble,0,1940,\N,64,"Comedy,Drama",Edith Fellows,1923,2011,"actress,soundtrack,archive_footage","tt0027293,tt0030373,tt0028092,tt0030369",17
tt0032476,1.0,nm0115597,movie,Flight Angels,0.0,\N,74.0,movie,Flight Angels,Flight Angels,0,1940,\N,74,"Comedy,Drama,Romance",Virginia Bruce,1910,1982,"actress,soundtrack,archive_footage","tt0032637,tt0027656,tt0032476,tt0032017",30
tt0032478,2.0,nm0211569,movie,Flora y Mariana,0.0,\N,103.0,movie,Flora y Mariana,Flora y Mariana,0,1942,\N,103,Comedy,Blanca de Silos,1914,2002,actress,"tt0039609,tt0035721,tt0035597,tt0036240",28
tt0032495,3.0,nm0915848,movie,Friendly Neighbors,0.0,\N,67.0,movie,Friendly Neighbors,Friendly Neighbors,0,1940,\N,67,Comedy,June Weaver,1891,1977,"actress,soundtrack,archive_footage","tt0034319,tt0151123,tt0032629,tt0035087",49
